text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
4r5e,arse,sexual anatomy / sexual acts,1.4,Mild,4r5e
shit-fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shit-fucker
bitchy ass,bitch,sexual anatomy / sexual acts,1.8,Strong,bitchyass
fxcking,fuck,sexual anatomy / sexual acts,2.2,Strong,fxcking
cokmuncher,cock,sexual anatomy / sexual acts,2.2,Strong,cokmuncher
k!ke,kike,racial / ethnic slurs,3.0,Severe,k!ke
scummy,scum,other / general insult,1.2,Mild,scummy
nutsack,nutsack,sexual anatomy / sexual acts,1.8,Strong,nutsack
fag hag,faggot,sexual orientation / gender,2.6,Severe,faghag
jerking off,jerk off,sexual anatomy / sexual acts,1.0,Mild,jerking
caca,shit,bodily fluids / excrement,1.0,Mild,caca
d!ld0,dildo,sexual anatomy / sexual acts,1.4,Mild,d!ld0
blow a load,blow a load,bodily fluids / excrement,1.6,Strong,blowload
phucks,fuck,sexual anatomy / sexual acts,2.0,Strong,phucks
shitassfucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shitassfucker
dog fucking,fuck,sexual anatomy / sexual acts,2.8,Severe,dogfucking
tickle the pickle,tickle the pickle,sexual anatomy / sexual acts,1.2,Mild,ticklepickle
shitfvck,shit,sexual anatomy / sexual acts,2.2,Strong,shitfvck
useless fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,uselessfucker
0rg@sm,orgasm,sexual anatomy / sexual acts,1.0,Mild,0rg@sm
fxcked,fuck,sexual anatomy / sexual acts,2.0,Strong,fxcked
soab,bitch,other / general insult,1.6,Strong,soab
jerk-offs,jerk off,sexual anatomy / sexual acts,1.0,Mild,jerk-offs
n1ggazes,nigger,racial / ethnic slurs,3.0,Severe,n1ggazes
mfukker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mfukker
biches,bitch,sexual orientation / gender,1.4,Mild,biches
assface,ass,sexual anatomy / sexual acts,1.6,Strong,assface
mothafucking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafucking
